Restaurante_Name,online_order,book_table,Rating( out of 5),votes,location,Type,Sub-TYpe,dish_liked,cuisines,Cost,listed_in(city)
McDonald's Play Place,Yes,No,3.7,123,Electronic City,Dine-out,Quick Bites,"Burgers, Rice Bowl","Burger, Fast Food",500,Electronic City
McLeans Italian Pizzeria,Yes,No,3.4,30,Ejipura,Delivery,Delivery,"","American, Pizza",500,Old Airport Road
MDP Coffee House,No,No,3.8,37,Jayanagar,Dine-out,Quick Bites,"Tea, Kharabath, Filter Coffee, Idli",South Indian,200,JP Nagar
Me And My Cake,No,No,3.5,18,Marathahalli,Delivery,Bakery,"","Bakery, Desserts",500,Marathahalli
Me N U,No,No,0,0,Bannerghatta Road,Cafes,Quick Bites,"","Finger Food, Wraps, Cafe, Continental, Healthy Food",500,Bannerghatta Road
Meal & Biryani,Yes,No,3.6,19,Bommanahalli,Delivery,Quick Bites,"","Andhra, South Indian",450,BTM
Meal Daddy,Yes,No,0,0,Nagawara,Delivery,Quick Bites,"",Fast Food,400,Kalyan Nagar
Meal In A Box,No,No,3.6,15,Koramangala 7th Block,Delivery,Delivery,"",Street Food,300,Koramangala 4th Block
Meal Square,Yes,No,3.4,10,Bannerghatta Road,Delivery,Delivery,"","North Indian, Chinese",600,BTM
Meal-bowl.com,No,No,0,0,Koramangala 4th Block,Delivery,Delivery,"",North Indian,300,Koramangala 7th Block
MealBox Inc.,Yes,No,4.0,34,Marathahalli,Delivery,Casual Dining,"Chaat, Pav Bhaji, Kheer, Aloo Paratha, Rabri, Sweet Lassi",North Indian,800,Brookefield
Mealer.in,Yes,No,4.2,701,Koramangala 4th Block,Delivery,Delivery,"Kheer, Sandwich, Roti, Salad, Rajma, Gulab Jamun, Chole","North Indian, Biryani",450,Koramangala 5th Block
Mealsbaba,Yes,No,3.7,57,HSR,Delivery,"Takeaway, Delivery","Lassi, Mutton",North Indian,400,HSR
MealsTree,Yes,No,3.7,163,Marathahalli,Delivery,Delivery,Chana Daal,North Indian,400,Marathahalli
Meat And Eat,Yes,No,3.2,14,Kaggadasapura,Delivery,Quick Bites,"","Fast Food, Burger",500,Old Airport Road
Meat And Eat,Yes,No,3.5,59,HSR,Delivery,Quick Bites,"","Fast Food, Burger",500,HSR
Meat And Eat,Yes,No,3.7,81,JP Nagar,Dine-out,Quick Bites,"Burgers, Fries, Chicken Wings","Fast Food, Burger",500,JP Nagar
Meat And Eat (ME),No,No,3.6,97,Old Airport Road,Dine-out,Quick Bites,Burgers,"Fast Food, Burger",500,Old Airport Road
Meat Up Barbecue & More,No,No,3.7,17,Kalyan Nagar,Delivery,Quick Bites,"","BBQ, Fast Food",400,Kammanahalli
Meaza Ginger Multi Cuisine Restaurant,Yes,No,3.7,93,Indiranagar,Delivery,Quick Bites,"Biryani, Chicken Curry, Kerala Parotta, Appam, Chicken Grill","North Indian, Chinese",500,Old Airport Road
Mecaf Family Restaurant,Yes,No,3.9,214,BTM,Delivery,Casual Dining,"Biryani, Masala Papad, Chicken Grill, Dragon Chicken, Paratha, Roti, Chicken Curry","North Indian, Chinese, Fast Food, Rolls, Beverages",600,Jayanagar
Meena's Kitchen,Yes,No,3.5,11,Marathahalli,Delivery,Delivery,"","Continental, North Indian, Mexican",400,Marathahalli
Meen-Da-Vanas,No,No,0,0,Rajajinagar,Dine-out,Quick Bites,"",Mangalorean,400,Rajajinagar
Meenu Oota Da Maane,Yes,Yes,4.2,294,Koramangala 5th Block,Delivery,Casual Dining,"Sea Food, Neer Dosa, Fish Curry, Chicken Thali, Crab Ghee Roast, Squid Ghee Roast, Murgh Ghee Roast","Seafood, Mangalorean, Chinese",800,Koramangala 4th Block
Meeraa's Beegara Oota,Yes,No,3.8,258,HSR,Delivery,Casual Dining,"Mutton Fry, Mutton Keema, Mutton Biryani, Chicken Biryani, Mutton Chops, Ragi Mudde, Mutton Curry","South Indian, Biryani",600,Koramangala 4th Block
Mega Bite,No,Yes,3.6,54,Whitefield,Buffet,Casual Dining,"Breakfast Buffet, Paratha, Rice","North Indian, Chinese, South Indian, Continental",1100,Brookefield
Meghana Biriyanis,Yes,No,3.9,375,Nagawara,Delivery,Quick Bites,Chicken Biryani,"Andhra, Biryani, South Indian, Chinese",400,Kammanahalli
Meghana Biryani,Yes,No,2.3,235,Bellandur,Delivery,Casual Dining,"Paneer Biryani, Vegetable Biryani, Chicken Boneless Biryani",North Indian,800,Bellandur
Meghana Foods,Yes,No,4.5,4432,Jayanagar,Delivery,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,JP Nagar
Meghana Foods Grand,Yes,No,4.2,3336,Marathahalli,Delivery,Casual Dining,"Andhra Thali, Veg Thali, Lollipop Biryani, Chicken Boneless Biryani, Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani","Biryani, Seafood, Andhra, North Indian",600,Brookefield
Meghana Grand,Yes,No,3.5,131,Whitefield,Delivery,Casual Dining,Chicken Biryani,"Biryani, Andhra",800,Whitefield
Mehek E Punjab,No,No,0,0,HSR,Dine-out,Quick Bites,"","North Indian, Chinese",400,HSR
Mehendi,No,No,0,0,Residency Road,Dine-out,Casual Dining,"","North Indian, Chinese",700,Residency Road
Mehfil Family Restaurant,Yes,No,3.0,81,Malleshwaram,Dine-out,Quick Bites,"",North Indian,750,Malleshwaram
Melange - Hotel Ekaa,Yes,Yes,3.2,426,Electronic City,Dine-out,Casual Dining,"Anjal Masala Fry, Pasta, Veg Platter, Biryani, Jeera Rice, Murgh Ghee Roast, Sea Food","North Indian, Chinese, Continental, Mangalorean",900,Electronic City
Melange - Radisson Blu,No,Yes,4.5,785,Marathahalli,Buffet,Fine Dining,"Sunday Brunch, Mocktails, Salads, Jumbo Prawns, Biryani, Breakfast Buffet, Appam","North Indian, Continental, Chinese, South Indian",2700,Marathahalli
Mel's Korner,No,No,3.8,95,Church Street,Dine-out,Quick Bites,"Shawarma, Burgers, Beef Burger, Potato Wedges, Vegetable Noodles, Cheese Fatayer, Garlic Fries",Fast Food,500,Brigade Road
Melt,No,No,4.0,115,BTM,Delivery,Casual Dining,"Burgers, Nachos, Fries, White Sauce Pasta, Cheese Pasta, Chicken Burger, Chicken Steak","Continental, Steak, Fast Food",1000,Koramangala 4th Block
Melt - Eden Park,Yes,Yes,4.0,347,JP Nagar,Delivery,Casual Dining,"Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles","North Indian, Chinese, Thai, Mughlai, Seafood",1000,JP Nagar
Melting Cakes,No,No,0,0,Sarjapur Road,Desserts,Bakery,"",Bakery,600,Sarjapur Road
Melting Melodies,Yes,No,3.6,11,Bellandur,Delivery,"Dessert Parlor, Bakery","","Desserts, Bakery",300,Sarjapur Road
Melting Pot at Woodrose,Yes,No,3.7,19,JP Nagar,Delivery,Quick Bites,"",North Indian,800,JP Nagar
Melting Spot,No,No,4.0,134,Indiranagar,Dine-out,"Cafe, Dessert Parlor","Sandwiches, Pav Bhaji, Ice Cream Roll, Sev Puri, Vada Pav, Sandwich, Dabeli","Cafe, Desserts, Beverages, Italian",600,Indiranagar
Memories of China - Taj MG Road Bengaluru,No,Yes,4.3,454,MG Road,Dine-out,Fine Dining,"Crispy Prawns, Momos, Cocktails, Pan Fried Noodles, Chocolate Cake, Veg Dim Sums, Dumplings","Chinese, Momos",3000,Lavelle Road
Meraki Kitchen,No,No,0,0,Bommanahalli,Delivery,Delivery,"",Desserts,400,BTM
Meraki Patisserie,No,No,3.3,6,Jayanagar,Desserts,Bakery,"","Bakery, Desserts",350,Jayanagar
Meridian South - A Pure Vegetarian Restaurant,No,No,0,0,Electronic City,Delivery,Casual Dining,"","North Indian, South Indian, Chinese",600,Electronic City
Mesa Deli - Svenska Design Hotel,Yes,Yes,3.2,9,Electronic City,Dine-out,Casual Dining,"","North Indian, Italian",600,Electronic City
Mesa Lounge Bar - Svenska Design Hotel,No,Yes,3.5,49,Electronic City,Delivery,Lounge,"","North Indian, Pizza, Asian, Italian",1500,Electronic City
Messy Bowl,No,No,3.8,70,Banashankari,Dine-out,Quick Bites,"Tandoori Maggi, Paneer Sizzler, Pasta, Pizza, Butter Garlic Fries, Peri Peri Maggi, Garlic Maggi","Fast Food, Beverages",500,Banashankari
Messy Eats,No,No,3.9,133,New BEL Road,Desserts,"Bakery, Dessert Parlor","Waffles, Churros, Pancakes, Fries","Bakery, Desserts",500,New BEL Road
Messy's,Yes,No,3.8,108,Electronic City,Dine-out,Quick Bites,"Pizza, Sandwiches, Burgers, Chaat, Panipuri",Fast Food,400,Electronic City
Metro Fast Food,No,No,0,0,HSR,Dine-out,Quick Bites,"","Biryani, Kebab",300,HSR
Metro Grand Upahara,No,No,0,0,Rajajinagar,Dine-out,Quick Bites,"",South Indian,250,Rajajinagar
Metro Military Hotel,Yes,No,0,0,Shanti Nagar,Delivery,Quick Bites,"","South Indian, Chinese, North Indian",300,Basavanagudi
Metrolicious,Yes,No,3.5,38,Whitefield,Delivery,"Takeaway, Delivery","","North Indian, Chinese, Biryani",400,Whitefield
Mexican Burrito,No,No,4.0,160,Sahakara Nagar,Delivery,"Takeaway, Delivery","Chicken Quesadilla, Burrito Bowl, Rice Bowl, Nachos, California Burrito","Mexican, Fast Food",450,New BEL Road
Mexican Taste,Yes,No,3.3,9,New BEL Road,Delivery,"Takeaway, Delivery","","Fast Food, Burger, Rolls, Salad",200,Malleshwaram
Mezban Family Restaurant,Yes,No,0,0,Basavanagudi,Dine-out,Quick Bites,"","Chinese, North Indian",300,Basavanagudi
MGR Foods,No,No,0,0,Electronic City,Delivery,Quick Bites,"",South Indian,300,Electronic City
MG's Fine Dining & Bar - Springs Hotel & Spa,No,Yes,3.8,21,Basavanagudi,Dine-out,Casual Dining,"","North Indian, Asian, Continental",800,Residency Road
Mid Night Hunting,Yes,No,3.7,127,Ejipura,Delivery,"Takeaway, Delivery","Burgers, Chicken Burger, Pasta, Chicken Pizza","Fast Food, Italian",300,Old Airport Road
Midas Touch,No,No,3.2,19,Brookefield,Desserts,Bakery,"","Bakery, Fast Food, Desserts",300,Brookefield
Mid-Night Crunch,Yes,No,3.7,455,HSR,Delivery,"Takeaway, Delivery",Rolls,"North Indian, Chinese",400,HSR
Midnight Eats,Yes,No,3.1,114,Frazer Town,Delivery,Delivery,"","North Indian, Chinese",500,Lavelle Road
Midnight Express,No,No,2.8,26,Koramangala 5th Block,Delivery,"Takeaway, Delivery","","North Indian, Chinese, Continental",650,Koramangala 6th Block
Midnight Food Point,Yes,No,2.7,37,Kalyan Nagar,Delivery,Delivery,"","North Indian, Chinese, Mughlai, Biryani",500,Kalyan Nagar
Midnight Foodie,No,No,0,0,Marathahalli,Delivery,Delivery,"",North Indian,250,Brookefield
Midnight Hunger Project,No,No,3.2,6,New BEL Road,Delivery,Delivery,"","North Indian, South Indian, Chinese",300,New BEL Road
Midnight Hunger Solutions 24/7,No,No,3.2,10,Koramangala 5th Block,Delivery,Delivery,"","North Indian, Mughlai, Chinese",500,Koramangala 5th Block
Midnight Joe's,Yes,No,0,0,HSR,Delivery,"Takeaway, Delivery","","Burger, Fast Food, Finger Food",300,HSR
Midnight Mania,Yes,No,4.1,725,Koramangala 6th Block,Delivery,Delivery,"Paneer Tikka Pizza, Veggie Pizza, Chocolate Tart, Peri Peri Chicken Pizza, Pasta, Kit Kat Shake, Burgers","Pizza, Italian, Beverages",700,Koramangala 5th Block
Midnight Pizza Slurpp,No,No,3.7,99,Koramangala 4th Block,Delivery,Delivery,"Pizza, Pasta","Italian, Pizza",700,Koramangala 6th Block
Midnight Restro,Yes,No,3.4,55,BTM,Delivery,Delivery,"","North Indian, Fast Food",500,Koramangala 6th Block
Midnight Special,Yes,No,3.7,26,HSR,Delivery,Delivery,"","North Indian, Fast Food, Chinese",500,Koramangala 6th Block
Mighty Paws,Yes,No,4.0,136,Sarjapur Road,Delivery,Cafe,"Waffles, Coffee, Salads, Burgers, Pasta, Paneer Burger, Sandwiches",Cafe,500,HSR
Mighty Small,No,No,4.1,258,MG Road,Pubs and bars,"Casual Dining, Bar","Mocktails, Beer, Chips, Pizza, Salsa, Nachos, Roti","Continental, Chinese",1200,Indiranagar
Mikusu - Conrad Bengaluru,No,Yes,4.2,83,Ulsoor,Dine-out,Fine Dining,"Noodles, Mushroom Ramen","Japanese, Chinese, Thai",3000,Residency Road
Milano Ice Cream,No,No,4.9,2090,Indiranagar,Desserts,Dessert Parlor,"Pie, Vanilla Gelato, Mango Ice Cream, Tiramisu, Truffle, Gelato Ice Cream, Ice Cream Sandwiches","Ice Cream, Desserts",400,Indiranagar
Milk N Shakes,Yes,No,3.8,47,Koramangala 8th Block,Delivery,Beverage Shop,"",Beverages,300,Koramangala 4th Block
Milkacium,Yes,No,0,0,Indiranagar,Delivery,Beverage Shop,"",Beverages,400,Indiranagar
Milkshake Kulture,No,No,3.5,10,Electronic City,Delivery,Beverage Shop,"",Beverages,300,Electronic City
Milkyway Ice Creams,Yes,No,3.7,25,Bellandur,Delivery,Food Court,"",Ice Cream,300,Bellandur
Milkyway Ice Creams & Fast Food,Yes,No,3.7,24,"ITPL Main Road, Whitefield",Dine-out,Quick Bites,"","Fast Food, Ice Cream, Beverages",200,Whitefield
Millennium Plaza,Yes,No,3.4,19,Electronic City,Delivery,Casual Dining,"",North Indian,700,Electronic City
Millers 46,No,Yes,4.4,2266,Vasanth Nagar,Dine-out,Casual Dining,"Steak, Chicken Wings, Burgers, Bacon Burger, Cocktails, Lime Soda, Chicken Burger","American, Continental, Steak",1100,Frazer Town
Millet Mama,Yes,No,3.9,18,Basavanagudi,Delivery,Quick Bites,"","South Indian, Healthy Food",200,Banashankari
Mimansa @ Foxtrot,Yes,Yes,4.4,191,Koramangala 3rd Block,Delivery,Cafe,"Pizza, Healthy Breakfast, Salads, Frittata, Salad, Carrot Halwa, Potato Fries",Cafe,1000,Koramangala 4th Block
Min Mini Punjabi Dhaba,Yes,No,3.9,85,Koramangala 7th Block,Delivery,Quick Bites,"Dal Makhani, Amritsari Kulcha",North Indian,400,Jayanagar
Mini Adiga's,No,No,2.8,27,BTM,Delivery,Quick Bites,"","South Indian, North Indian, Chinese, Street Food, Juices",250,Koramangala 6th Block
Mini Fast Food,No,No,3.1,11,Frazer Town,Delivery,Quick Bites,"","Fast Food, Chinese",150,Kammanahalli
Mini Forest,No,No,3.3,6,JP Nagar,Dine-out,Quick Bites,"","Fast Food, Desserts",500,Bannerghatta Road
Mini Punjabi Dhaba,Yes,No,4.2,296,Banashankari,Delivery,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Veg Kolhapuri, Bhindi Fry",North Indian,350,Jayanagar
Mini Wok,No,No,3.4,7,Thippasandra,Dine-out,Quick Bites,"",Chinese,400,Old Airport Road
MiniMelts,No,No,3.9,66,Brigade Road,Delivery,Dessert Parlor,"",Ice Cream,200,MG Road
Ministry of Burger,Yes,No,0,0,Electronic City,Delivery,Delivery,"",Continental,500,Bannerghatta Road
