Restaurante_Name,online_order,book_table,Rating( out of 5),votes,location,Type,Sub-TYpe,dish_liked,cuisines,Cost,listed_in(city)
Ackley Kitchen,Yes,No,3.6,33,Kaggadasapura,Delivery,Quick Bites,"Burgers, Pasta, Chicken Zinger Burger, French Fries","Fast Food, Continental, Burger",500,Marathahalli
Adarsh Bakery,No,No,3.1,10,Electronic City,Delivery,Bakery,"","Bakery, Fast Food",300,Electronic City
Adda,No,No,3.3,5,Shanti Nagar,Delivery,Quick Bites,"",South Indian,300,Brigade Road
Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Dine-out,Quick Bites,Masala Dosa,"South Indian, North Indian",300,Banashankari
Adiga Sweets,No,No,0,0,Jayanagar,Desserts,Takeaway,"","Mithai, Beverages",200,JP Nagar
Adiga's,No,No,3.7,56,Jayanagar,Dine-out,Quick Bites,"Vada, Coffee, Idli, Masala Dosa",South Indian,150,Jayanagar
Adi's Cake N Cafe,No,No,3.3,4,Bannerghatta Road,Delivery,Bakery,"",Bakery,400,BTM
Adithya,Yes,No,4.0,334,JP Nagar,Delivery,Quick Bites,"Neer Dosa, Coffee, Pav Bhaji, Khali Dosa, Panipuri, Masala Dosa, Tea","South Indian, North Indian, Chinese",300,JP Nagar
Adithya Family Restaurant,No,No,3.7,27,BTM,Dine-out,Quick Bites,"",South Indian,250,Koramangala 6th Block
Adithya Tiffin Centre,No,No,0,0,Shanti Nagar,Delivery,"Takeaway, Delivery","",North Indian,200,Residency Road
Adithya Veg,No,No,3.3,10,Jayanagar,Dine-out,Quick Bites,"","South Indian, Chinese",300,Basavanagudi
Aditya Delights,Yes,No,3.7,59,New BEL Road,Delivery,Quick Bites,"","Chinese, North Indian, Mangalorean",300,New BEL Road
Aditya Sweets,Yes,No,3.7,24,Whitefield,Delivery,Sweet Shop,"","Mithai, Fast Food",200,Marathahalli
Aditya Uphar,No,No,3.5,30,JP Nagar,Dine-out,Quick Bites,"","South Indian, Chinese, North Indian",200,JP Nagar
Adukkala Restaurant,Yes,No,3.2,123,Banaswadi,Delivery,Casual Dining,"Tea, Shawarma, Egg Roast, Biryani, Appam",Kerala,600,Kalyan Nagar
Adupadi,No,No,2.9,25,Whitefield,Dine-out,Quick Bites,"","South Indian, Chettinad",450,Whitefield
Advika Briyani Center,No,No,3.4,8,JP Nagar,Delivery,Delivery,"",Biryani,300,Bannerghatta Road
Adya Hotel,No,No,3.3,4,Electronic City,Dine-out,Quick Bites,"","South Indian, North Indian, Chinese",400,Electronic City
Adyar Anand Bhavan Sweets,No,No,0,0,Electronic City,Delivery,Quick Bites,"","South Indian, North Indian, Chinese, Street Food",200,Electronic City
Adyar Ananda Bhavan - Sweets,Yes,No,3.4,7,BTM,Delivery,"Takeaway, Delivery","","Mithai, Desserts",200,Koramangala 6th Block
Adyar Ananda Bhavan Sweets,Yes,No,3.6,4,JP Nagar,Delivery,"Takeaway, Delivery","","Mithai, Desserts",200,JP Nagar
Affa Cafeteria,No,No,0,0,Electronic City,Delivery,Quick Bites,"",Fast Food,200,Electronic City
Affan Kabab Centre,No,No,0,0,Frazer Town,Dine-out,Quick Bites,"",Kebab,150,Frazer Town
Afghani Tandoori Hub,Yes,No,3.7,14,BTM,Dine-out,Quick Bites,"","Arabian, Afghan",400,Koramangala 6th Block
Afoozoo - Ginger Hotel,No,No,3.5,40,Whitefield,Dine-out,Casual Dining,"","North Indian, Chinese",800,Whitefield
Afrina's Kitchen,Yes,No,3.4,9,Kammanahalli,Delivery,"Takeaway, Delivery","","Fast Food, Desserts",250,Kammanahalli
Agarwal Food Service,Yes,No,3.8,268,Bannerghatta Road,Delivery,Delivery,"","North Indian, Chinese, Biryani",400,Jayanagar
Agent Jack's Bar,No,Yes,4.1,597,Indiranagar,Pubs and bars,Bar,"Margarita, Masala Peanuts, Cocktails, Momos, Pizza, Beer, Chicken Nachos","Continental, North Indian, Italian",1300,Old Airport Road
Agnihotri Cuisines,No,No,0,0,MG Road,Delivery,"Takeaway, Delivery","","Chinese, North Indian, Fast Food",500,Residency Road
Agraharaa,No,No,0,0,Koramangala 6th Block,Dine-out,Quick Bites,"",South Indian,150,Koramangala 4th Block
Agraharam Meal,No,No,3.7,61,Kaggadasapura,Delivery,"Takeaway, Delivery",Vada,"North Indian, South Indian",300,Marathahalli
Aha Juice Bar,No,No,3.6,13,BTM,Delivery,Beverage Shop,"","Beverages, Fast Food",200,Bannerghatta Road
Ahaan Restaurant,Yes,No,2.8,77,RT Nagar,Delivery,Delivery,"","North Indian, Chinese",300,Kammanahalli
AhimsaAmrit Green Cafe,No,Yes,3.7,19,Indiranagar,Delivery,Casual Dining,"","Healthy Food, Salad, Continental",800,Old Airport Road
Ahmad's Chicken Hut,No,No,3.2,9,Banaswadi,Dine-out,Quick Bites,"","North Indian, Chinese",200,Kammanahalli
Ahmed Biriyani Corner,No,No,0,0,Vasanth Nagar,Dine-out,Quick Bites,"",Biryani,200,Church Street
Ahmed's,No,No,0,0,Vasanth Nagar,Dine-out,Quick Bites,"","Kebab, Biryani",200,Church Street
Ahmed's Little Hut,Yes,No,0,0,BTM,Delivery,Quick Bites,"",Fast Food,250,Jayanagar
Ahmeds Takeaway Restaurant,No,No,0,0,Frazer Town,Delivery,"Takeaway, Delivery","","North Indian, Chinese",250,Lavelle Road
Aioli,No,Yes,4.2,783,Kalyan Nagar,Delivery,Casual Dining,"Garlic Bread, Salad, Salads, Pita Bread, Lamb Chops, Sea Food, Steak","Mediterranean, Continental, Italian, Salad",1400,Kalyan Nagar
Airlines Hotel,Yes,No,4.0,868,Lavelle Road,Delivery,Quick Bites,"Chole, Tea, Filter Coffee, Vada, Upma, Butter Masala Dosa, Idli","South Indian, North Indian, Street Food",400,Frazer Town
Aisha Tharavad,No,No,0,0,Ejipura,Delivery,Quick Bites,"","South Indian, Kerala",400,Koramangala 7th Block
Aishwarya,No,No,3.3,6,Whitefield,Dine-out,Dhaba,"","Chinese, North Indian",450,Whitefield
Aishwarya Bar and Restaurant,No,No,0,0,Indiranagar,Dine-out,Bar,"",Finger Food,800,Indiranagar
Aishwarya Parkland,No,No,2.9,59,Bannerghatta Road,Dine-out,Casual Dining,"","Chinese, North Indian",500,Bannerghatta Road
Aishwarya Sweets,Yes,No,3.6,24,Rajajinagar,Desserts,Sweet Shop,"","Mithai, Street Food",250,Malleshwaram
Aishwarya Uphar,No,No,0,0,Ulsoor,Dine-out,Quick Bites,"","South Indian, North Indian",150,Indiranagar
AJ Ambur Star Biriyani,No,No,0,0,Electronic City,Delivery,Quick Bites,"","South Indian, Biryani",300,Electronic City
Ajantha Hotel,Yes,No,0,0,Magadi Road,Delivery,Quick Bites,"","North Indian, South Indian",250,Rajajinagar
Ajwa Thalassery Biryani,Yes,Yes,3.9,42,Sarjapur Road,Dine-out,Quick Bites,"Thalassery Biryani, Chicken Fry, Chicken Biryani","Biryani, South Indian",500,Bellandur
Akash Gowdru Biryani Center,No,No,0,0,Uttarahalli,Delivery,Quick Bites,"","North Indian, Chinese",300,Banashankari
Akkad Bakkad,Yes,Yes,3.9,72,Electronic City,Delivery,Casual Dining,"Bhuna Chicken, Mutton Biryani, Paratha","North Indian, Chinese",600,Electronic City
AKS Family Dhaba And Restaurant,Yes,No,3.6,41,Marathahalli,Delivery,Quick Bites,"","North Indian, Mughlai, South Indian",500,Brookefield
Akshara,Yes,No,4.0,136,Marathahalli,Delivery,Casual Dining,"Fry Prawns, Biryani, Andhra Thali, Neer Dosa, Kokum Juice, Masala Prawn, Brinjal Curry","South Indian, Kerala, Andhra",1000,Brookefield
Akshatha Nati Style,No,No,3.7,20,Vijay Nagar,Dine-out,Quick Bites,"","South Indian, Chinese, North Indian",500,Rajajinagar
Akshay Biryani Paradise,No,No,0,0,Electronic City,Delivery,Quick Bites,"","South Indian, North Indian",350,Electronic City
Akshaya Bar And Restaurant,Yes,No,0,0,Koramangala 1st Block,Dine-out,"Casual Dining, Bar","","North Indian, South Indian, Chinese, Fast Food",600,HSR
AKSHAYA BIRYANI,Yes,No,3.6,22,Sarjapur Road,Dine-out,Quick Bites,"","Biryani, North Indian",300,Sarjapur Road
Akshaya Deluxe,Yes,No,4.0,337,New BEL Road,Dine-out,Casual Dining,"Sea Food, Chicken Biryani, Naan, Neer Dosa, Chicken Curry, Mutton Biryani, Roti","North Indian, Chinese, Seafood, Biryani",500,New BEL Road
Akshaya Donne Biriyani,Yes,No,3.1,38,JP Nagar,Dine-out,Quick Bites,"","Biryani, South Indian, Kebab",300,Bannerghatta Road
Akshaya Family Restaurant,Yes,No,3.2,4,Banaswadi,Delivery,Quick Bites,"","South Indian, North Indian",150,Kalyan Nagar
Akshaya Grand,Yes,No,3.4,29,BTM,Dine-out,Casual Dining,"",North Indian,750,Koramangala 5th Block
Akshaya Sambrama Veg Restaurant,No,No,3.2,13,Vasanth Nagar,Delivery,Quick Bites,"","South Indian, Chinese",200,Malleshwaram
Akshaya Spice,No,No,0,0,New BEL Road,Delivery,Quick Bites,"","Andhra, Chinese, North Indian",300,New BEL Road
Akshaya Sweets & Chats,Yes,No,0,0,Jayanagar,Delivery,Sweet Shop,"","Mithai, Street Food",200,JP Nagar
Akss - India Reimagined,No,Yes,4.2,258,Sadashiv Nagar,Dine-out,Casual Dining,"Kesar Kulfi, Ghamandi Lassi, Biryani, Corn Soup, Kokum Juice, Vanilla Ice Cream, Bloody Mary","Modern Indian, North Indian",1800,Malleshwaram
AL - Khair,Yes,No,0,0,Frazer Town,Delivery,Quick Bites,"",North Indian,400,Church Street
AL Afreen's Biryani Paradise,No,No,0,0,Kalyan Nagar,Delivery,Quick Bites,"","North Indian, Biryani, Chinese",200,Kalyan Nagar
Al Amal Cafe,No,No,4.0,74,Kammanahalli,Cafes,"Cafe, Quick Bites","","Cafe, Fast Food",300,Kalyan Nagar
Al Amanah Cafe,Yes,No,4.4,1413,Kammanahalli,Delivery,Quick Bites,"Rolls, Jumbo Chicken Roll, Falafel Roll, Chicken Kudu Roll, Shawarma, Mutton Roll, Spicy Roll","Middle Eastern, Fast Food, Rolls",300,Frazer Town
Al Ameen Rolls Corner,No,No,3.7,16,Kammanahalli,Delivery,Quick Bites,"",Rolls,200,Kammanahalli
Al Aziz Durbar,No,No,0,0,Banaswadi,Delivery,Quick Bites,"","Arabian, Mughlai",350,Kalyan Nagar
Al Baith,No,No,0,0,Koramangala 7th Block,Delivery,Quick Bites,"","North Indian, Chinese",300,Koramangala 7th Block
Al Barack Cafetaria,No,No,3.6,20,Banaswadi,Dine-out,Quick Bites,"",Arabian,300,Kammanahalli
Al Daaz,Yes,No,4.2,592,HSR,Delivery,Casual Dining,"Pizza, Chicken Kebab, Mocktails, Burgers, Pasta, Chicken Biryani, Salad","North Indian, Continental, BBQ",550,Koramangala 4th Block
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,Delivery,"Takeaway, Delivery","",Biryani,300,Basavanagudi
Al Ghani Resetaurant,No,No,3.3,4,Kammanahalli,Dine-out,Quick Bites,"","Mughlai, Biryani",400,Kammanahalli
AL Habeeb Restaurant,No,No,0,0,Nagawara,Delivery,Quick Bites,"","Biryani, North Indian",350,Kalyan Nagar
Al Habibi Restaurant,Yes,No,3.5,17,BTM,Dine-out,Quick Bites,"","North Indian, Chinese",300,Koramangala 6th Block
Al Hayath,No,No,3.5,16,BTM,Dine-out,Quick Bites,"","North Indian, Chinese",200,Koramangala 5th Block
Al Hayath Ambur Biryani,No,No,3.3,9,Ejipura,Dine-out,Quick Bites,"",Biryani,200,Koramangala 4th Block
Al Kabab Corner,No,No,0,0,Sanjay Nagar,Delivery,Quick Bites,"","Chinese, North Indian",350,New BEL Road
Al Karim,No,No,3.7,90,Kalyan Nagar,Delivery,Casual Dining,"Butter Chicken, Murgh Khurchan, Naan, Kulcha, Tandoori Roti, Mutton Biryani, Rice","Mughlai, North Indian, Biryani, Chinese",600,Kammanahalli
Al Khaleej Snacks Corner,No,No,0,0,Jayanagar,Delivery,Quick Bites,"","Lebanese, Fast Food, Beverages",200,Basavanagudi
Al Khansah,Yes,No,3.9,373,Bellandur,Dine-out,Casual Dining,"Chicken Tikka Masala, Chicken Biryani, Mutton Biryani, Chicken Curry, Gajar Ka Halwa, Malai Kebab, Gulab Jamun","North Indian, Mughlai, Biryani, Chinese",600,Sarjapur Road
Al Khwaja,No,No,3.0,13,Bellandur,Dine-out,Casual Dining,"","North Indian, Chinese",400,Bellandur
Al Madhina Roll House,No,No,3.4,6,Kalyan Nagar,Dine-out,Quick Bites,"","North Indian, Chinese",300,Kammanahalli
Al Madina Family Restaurant,No,No,0,0,City Market,Dine-out,Quick Bites,"","North Indian, South Indian, Arabian",500,Basavanagudi
Al Madina Roll House,Yes,No,3.6,16,Kalyan Nagar,Dine-out,Quick Bites,"",Biryani,150,Kammanahalli
Al Manar,No,No,0,0,Wilson Garden,Dine-out,Quick Bites,"","South Indian, North Indian, Chinese",400,Residency Road
Al Noor,No,No,3.8,22,Shivajinagar,Dine-out,Quick Bites,"","North Indian, Chinese, Arabian, Rolls",350,MG Road
Al Sadique,Yes,No,3.9,185,Magadi Road,Dine-out,Quick Bites,"Biryani, Pepper Chicken","North Indian, Mughlai, Chinese, Rolls",450,Rajajinagar
Al Sadique Restaurant,No,No,3.5,31,Frazer Town,Dine-out,Quick Bites,"","Mughlai, North Indian, Street Food",350,Church Street
Al Swaad Take Away,Yes,No,3.1,13,Richmond Road,Delivery,Quick Bites,"","North Indian, South Indian, Arabian",350,Lavelle Road
Al Taj Fast Food,Yes,No,3.2,4,Vijay Nagar,Delivery,Quick Bites,"","Fast Food, North Indian, South Indian, Chinese",600,Rajajinagar
Al Zaiqa Hotel,Yes,No,3.5,14,Marathahalli,Delivery,Quick Bites,"","Chinese, South Indian, Fast Food",200,Bellandur
Alampur Bar And Restaurant,Yes,No,3.7,42,Race Course Road,Delivery,Casual Dining,"Thali, Chicken Biryani","Chinese, South Indian, North Indian",900,Brigade Road
Alankar Restaurant,No,No,0,0,Marathahalli,Dine-out,Casual Dining,"","South Indian, North Indian, Chinese",800,Marathahalli
Alankrutha,Yes,No,3.9,258,BTM,Delivery,Casual Dining,"Chicken Biryani, Hyderabadi Biryani, Dum Biryani","Andhra, Biryani, North Indian, Chinese",500,JP Nagar
Al-Arabi Restaurant,No,No,0,0,Kammanahalli,Dine-out,Casual Dining,"",Arabian,500,Kalyan Nagar
Alba - JW Marriott Bengaluru,No,Yes,4.5,583,Lavelle Road,Dine-out,Fine Dining,"Pizza, Tiramisu, Pasta, Risotto, Lobster, Panna Cotta, Salad",Italian,4000,Brigade Road
Al-Badia Restaurant,No,No,4.2,89,Kammanahalli,Dine-out,Casual Dining,"Baklava, Arabic Cuisine, Mutton Mandi, Shawarma Roll, Arabian Kebab",Arabian,700,Kalyan Nagar
Al-Baik Kabab Centre,Yes,No,0,0,Banaswadi,Delivery,Quick Bites,"","Biryani, Chinese, Kebab",300,Indiranagar
Al-Baik Kabab Corner,Yes,No,3.2,25,Yeshwantpur,Delivery,Quick Bites,"","Kebab, Biryani",350,Malleshwaram
Al-Baik Tandoori Restaurant,Yes,No,3.7,117,Nagawara,Dine-out,Quick Bites,"","North Indian, Chinese, Arabian, Biryani, Rolls",450,Kammanahalli
Al-Bek,Yes,No,4.1,568,Rajajinagar,Dine-out,Casual Dining,"Chicken Roll, Mutton Biryani, Egg Roll, Ghee Rice, Shawarma, Tandoori Chicken, Chicken Grill","Mughlai, Chinese",700,Rajajinagar
Albert Bakery,No,No,4.3,346,Frazer Town,Desserts,Bakery,"Chicken Seekh, Mutton Samosa, Veg Samosa, Chicken Cutlet, Naan, Chicken Puff, Chicken Roll","Bakery, Fast Food",150,Frazer Town
Alchemy - The Chancery Pavilion,No,Yes,4.3,485,Residency Road,Dine-out,"Microbrewery, Casual Dining","Craft Beer, Cocktails, Stout, Chicken Wings, Fish, Brewed Beer, Mysore Pak",Modern Indian,2000,MG Road
Alchemy Coffee Roasters,No,No,4.2,713,Jayanagar,Cafes,Cafe,"Coffee, Fries, Sandwich, Pizza, Pancakes, Pasta, Hot Chocolate",Cafe,500,JP Nagar
Alechemy,No,No,0,0,BTM,Delivery,Casual Dining,"",North Indian,1500,Koramangala 7th Block
Alfa Family Restaurant,No,No,3.0,30,Wilson Garden,Dine-out,Quick Bites,"","North Indian, Arabian, Chinese",400,Jayanagar
Al-Falah Restaurant,No,No,0,0,Frazer Town,Dine-out,Quick Bites,"","North Indian, Chinese, Rolls",400,Frazer Town
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,No,Yes,3.7,77,Malleshwaram,Dine-out,"Bar, Casual Dining","Cocktails, Pizza",Continental,2000,Malleshwaram
Al-Hind Sagar Kathi Rolls,No,No,0,0,Old Airport Road,Delivery,Kiosk,"",Rolls,150,Old Airport Road
Al-Hyatt,No,No,0,0,Ejipura,Dine-out,Quick Bites,"","Biryani, Chinese",300,Koramangala 4th Block
Ali Bhai- Rolls and Kebabs,Yes,No,0,0,Kalyan Nagar,Delivery,"","","Rolls, North Indian, Mughlai",150,Kalyan Nagar
Ali Snacks Point,Yes,No,3.4,5,Malleshwaram,Delivery,Quick Bites,"","Chinese, Momos",150,Rajajinagar
Alibaba Cafe and Restaurant,Yes,No,3.9,450,Frazer Town,Dine-out,Casual Dining,"Biryani, Irani Chai, Tea, Lemonade, Mezze Platter, Shawarma, Plain Rice","Arabian, Middle Eastern",700,Frazer Town
Alibi - Maya International Hotel,No,No,1.8,224,Church Street,Dine-out,Casual Dining,Dj,"North Indian, Continental, Chinese",1200,Brigade Road
AlienSip,Yes,No,3.6,11,BTM,Delivery,Beverage Shop,"",Juices,200,Jayanagar
Alif Hotel,Yes,No,0,0,Yeshwantpur,Delivery,Quick Bites,"","North Indian, Chinese, Mughlai",400,Malleshwaram
Alif Restaurant,Yes,No,3.6,27,JP Nagar,Delivery,Casual Dining,"","North Indian, Chinese",600,BTM
Aligarh House,Yes,No,4.4,107,Koramangala,Delivery,Delivery,"Raita, Muradabadi Biryani","North Indian, Biryani, Awadhi, Mughlai",400,Koramangala 5th Block
Alikemom,Yes,No,0,0,Electronic City,Delivery,"Takeaway, Delivery","",North Indian,300,Electronic City
Aliyar Cafe Sweet Palace,No,No,0,0,Jayanagar,Delivery,Quick Bites,"","Fast Food, Burger, Rolls, Beverages",250,Basavanagudi
All Aromas,Yes,No,4.3,0,Jayanagar,Dine-out,Quick Bites,"","North Indian, Biryani",400,Jayanagar
All In One Desi Khana,No,No,0,0,Bellandur,Delivery,Quick Bites,"","North Indian, Chinese, Biryani",500,Sarjapur Road
All Saints Bakery,No,No,3.6,23,Brigade Road,Desserts,Bakery,"",Bakery,200,Brigade Road
All Seasons Restaurants,No,No,0,0,Indiranagar,Dine-out,Casual Dining,"","North Indian, South Indian",700,Indiranagar
All Shook Up,Yes,No,3.7,35,Marathahalli,Delivery,"Dessert Parlor, Beverage Shop","","Desserts, Beverages",300,Marathahalli
All Shook Up!,Yes,No,3.9,77,Domlur,Desserts,"Dessert Parlor, Beverage Shop","Sandwiches, Mint Oreo Shake, Faluda, Brownie Shake, Cheese Sandwich, Ice-cream Shake, Chicken Sandwich","Desserts, Beverages",300,Indiranagar
Allahabadi Tadaka,No,No,3.0,47,Domlur,Delivery,Casual Dining,Dal Tadka,North Indian,250,Old Airport Road
Allana Kabab,No,No,3.3,4,Richmond Road,Dine-out,Quick Bites,"",North Indian,200,Church Street
Alloro - The Oterra,No,Yes,4.0,63,Electronic City,Dine-out,Fine Dining,"Pasta, Pizza, Tiramisu, Minestrone Soup, Mushroom Risotto, Clear Soup, Wine",Italian,2500,Electronic City
Al-Madina,No,No,3.3,8,BTM,Delivery,"Takeaway, Delivery","","North Indian, Chinese",500,Koramangala 7th Block
Al-Madina Restaurant,No,No,3.6,31,City Market,Dine-out,Casual Dining,"","",0,Lavelle Road
Al-Marhaba Restaurant,Yes,No,0,0,BTM,Delivery,Quick Bites,"","Arabian, Chinese, North Indian, Rolls, Momos",400,JP Nagar
AL-Nabi Hotel,No,No,0,0,Frazer Town,Dine-out,Quick Bites,"","Kebab, Biryani",300,Frazer Town
Al-Noor Restaurant,Yes,No,0,0,Nagawara,Dine-out,Quick Bites,"","Chinese, North Indian, Mughlai",400,Kalyan Nagar
Alpha - House of Biryani & Tandoor,Yes,No,3.5,395,Whitefield,Delivery,Casual Dining,"Raita, Paneer Biryani","Biryani, North Indian, Chinese",800,Whitefield
Al-Safaa Chinese Fast Food,No,No,0,0,Shivajinagar,Dine-out,Quick Bites,"","Chinese, Fast Food",250,Residency Road
Al-Shadab Cafe,No,No,0,0,Kammanahalli,Dine-out,Quick Bites,"","Biryani, Kebab",200,Kalyan Nagar
Al-Sidique,Yes,No,4.0,314,Vijay Nagar,Delivery,Quick Bites,"","North Indian, Chinese",400,Rajajinagar
alt,No,Yes,4.1,821,Whitefield,Pubs and bars,"Bar, Lounge","Margarita, Lamb, Cocktails, Nachos, Spring Roll, Long Island Iced Tea, Mocktails",Finger Food,1900,Whitefield
Altaf's Chillies Restaurant,Yes,No,3.9,237,Frazer Town,Dine-out,Casual Dining,"Chicken Kebab, Biryani, Masala Tikka, Chicken Tikka","North Indian, Chinese",500,Kammanahalli
Altaj Restaurant,No,No,3.4,7,Rajajinagar,Delivery,Casual Dining,"","North Indian, Chinese",700,Rajajinagar
Al-Taj Restaurant,Yes,No,3.4,9,Rajajinagar,Delivery,Casual Dining,"","South Indian, North Indian, Chinese",600,Malleshwaram
Alter Ego D'Deli,Yes,No,3.8,141,Kalyan Nagar,Dine-out,Cafe,"Pizza, Burgers, Chicken Pasta, Minestrone Soup, French Onion Soup, Hot Dog, Coffee","Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",650,Kammanahalli
Alto Vino - Bengaluru Marriott Hotel Whitefield,No,Yes,4.3,267,Whitefield,Dine-out,Fine Dining,"Tiramisu, Wine, Lamb, Baked Salmon, Chicken Pasta, Ravioli, Gnocchi","Italian, Salad",3000,Whitefield
AM Biryani Junction,No,No,0,0,Richmond Road,Dine-out,Quick Bites,"","North Indian, Chinese, Biryani",300,Residency Road
Am On Restaurant Family Dine,No,No,0,0,RT Nagar,Dine-out,Quick Bites,"","Fast Food, Biryani",200,Frazer Town
AM WOW,Yes,No,3.4,6,Jayanagar,Delivery,Beverage Shop,"",Beverages,100,Banashankari
Amadora Gourmet Ice Cream & Sorbet,No,No,0,0,Whitefield,Desserts,Dessert Parlor,"","Desserts, Ice Cream",500,Whitefield
Aman Chaat's And Fast Food Corner,Yes,No,0,0,Bannerghatta Road,Delivery,Quick Bites,"","North Indian, Chinese",150,Bannerghatta Road
Amande Patisserie,Yes,No,4.2,231,Lavelle Road,Delivery,"Bakery, Dessert Parlor","Macaroon, Fruit Tart, Opera Cake, Belgian Dark Chocolate, Orange Tart, Eclair, Chocolate Mousse","Bakery, French, Desserts",300,Lavelle Road
Amanthrana Gardenia,Yes,No,3.9,117,Brookefield,Delivery,Casual Dining,"Neer Dosa, Biryani, Chicken Curry, Murgh Ghee Roast, Manchow Soup, Chicken Sukha","North Indian, Andhra, BBQ, Seafood, Chinese",800,Whitefield
Amantrana,No,No,3.2,15,Magadi Road,Dine-out,Casual Dining,"","North Indian, South Indian",800,Rajajinagar
Amar Kolkata,No,No,3.2,4,Old Airport Road,Delivery,Quick Bites,"","Bengali, North Indian, Chinese",300,Indiranagar
Amara Food Point,No,No,3.3,4,BTM,Delivery,"Takeaway, Delivery","",South Indian,250,BTM
Amaravathi Andhra Mess,No,No,0,0,Electronic City,Delivery,Quick Bites,"",Andhra,300,Electronic City
Amaravathi Andhra Style Family Restaurant,No,No,0,0,Electronic City,Dine-out,Quick Bites,"",Andhra,250,Electronic City
Amaravathi Bar & Restaurant,No,No,3.7,43,Jayanagar,Dine-out,"Casual Dining, Bar","","North Indian, Chinese, Seafood",400,JP Nagar
Amaravathi Biryani Zone,Yes,No,0,0,Whitefield,Dine-out,Quick Bites,"","Chinese, South Indian, North Indian",600,Whitefield
Amaravathi Mess,Yes,No,3.6,108,Electronic City,Dine-out,Quick Bites,"","Andhra, Biryani",400,Electronic City
Amaravati,No,No,3.6,39,BTM,Dine-out,Quick Bites,"","North Indian, Chinese",400,Koramangala 6th Block
Amaravati - Pure Veg Restaurant,Yes,No,3.5,93,Kaggadasapura,Delivery,Quick Bites,"","South Indian, North Indian, Chinese",350,Marathahalli
